pokemon_name,pokedex_num,pkmn,type1,type2
Weepinbell,#070,Weepinbell,Grass,Poison
Victreebel,#071,Victreebel,Grass,Poison
Tentacool,#072,Tentacool,Water,Poison
Tentacruel,#073,Tentacruel,Water,Poison
Geodude,#074,Geodude,Rock,Ground
Graveler,#075,Graveler,Rock,Ground
Golem,#076,Golem,Rock,Ground
Ponyta,#077,Ponyta,Fire,null
Rapidash,#078,Rapidash,Fire,null
Slowpoke,#079,Slowpoke,Water,Psychic
Slowbro,#080,Slowbro,Water,Psychic
Magnemite,#081,Magnemite,Electric,null
Magneton,#082,Magneton,Electric,null
Farfetch'd,#083,Farfetch'd,Normal,Flying
Doduo,#084,Doduo,Normal,Flying
Dodrio,#085,Dodrio,Normal,Flying
Seel,#086,Seel,Water,null
Dewgong,#087,Dewgong,Water,Ice
Grimer,#088,Grimer,Poison,null
Muk,#089,Muk,Poison,null
Shellder,#090,Shellder,Water,null
Cloyster,#091,Cloyster,Water,Ice
Gastly,#092,Gastly,Ghost,Poison
Haunter,#093,Haunter,Ghost,Poison
Gengar,#094,Gengar,Ghost,Poison
Onix,#095,Onix,Rock,Ground
Drowzee,#096,Drowzee,Psychic,null
Hypno,#097,Hypno,Psychic,null
Krabby,#098,Krabby,Water,null
Kingler,#099,Kingler,Water,null
Voltorb,#100,Voltorb,Electric,null
Electrode,#101,Electrode,Electric,null
Exeggcute,#102,Exeggcute,Grass,Psychic
Exeggutor,#103,Exeggutor,Grass,Psychic
Cubone,#104,Cubone,Ground,null
Marowak,#105,Marowak,Ground,null
Hitmonlee,#106,Hitmonlee,Fighting,null
Hitmonchan,#107,Hitmonchan,Fighting,null
Lickitung,#108,Lickitung,Normal,null
Koffing,#109,Koffing,Poison,null
Weezing,#110,Weezing,Poison,null
Rhyhorn,#111,Rhyhorn,Ground,Rock
Rhydon,#112,Rhydon,Ground,Rock
Chansey,#113,Chansey,Normal,null
Tangela,#114,Tangela,Grass,null
Kangaskhan,#115,Kangaskhan,Normal,null
Horsea,#116,Horsea,Water,null
Seadra,#117,Seadra,Water,null
Goldeen,#118,Goldeen,Water,null
Seaking,#119,Seaking,Water,null
Staryu,#120,Staryu,Water,null
Starmie,#121,Starmie,Water,Psychic
Mr. Mime,#122,Mr. Mime,Psychic,null
Scyther,#123,Scyther,Bug,Flying
Jynx,#124,Jynx,Ice,Psychic
Electabuzz,#125,Electabuzz,Electric,null
Magmar,#126,Magmar,Fire,null
Pinsir,#127,Pinsir,Bug,null
Tauros,#128,Tauros,Normal,null
Magikarp,#129,Magikarp,Water,null
Gyarados,#130,Gyarados,Water,Flying
Lapras,#131,Lapras,Water,Ice
Ditto,#132,Ditto,Normal,null
Eevee,#133,Eevee,Normal,null
Vaporeon,#134,Vaporeon,Water,null
Jolteon,#135,Jolteon,Electric,null
Flareon,#136,Flareon,Fire,null
Porygon,#137,Porygon,Normal,null
Omanyte,#138,Omanyte,Rock,Water
Omastar,#139,Omastar,Rock,Water
Kabuto,#140,Kabuto,Rock,Water
Kabutops,#141,Kabutops,Rock,Water
Aerodactyl,#142,Aerodactyl,Rock,Flying
Snorlax,#143,Snorlax,Normal,null
Articuno,#144,Articuno,Ice,Flying
Zapdos,#145,Zapdos,Electric,Flying
Moltres,#146,Moltres,Fire,Flying
Dratini,#147,Dratini,Dragon,null
Dragonair,#148,Dragonair,Dragon,null
Dragonite,#149,Dragonite,Dragon,Flying
Mewtwo,#150,Mewtwo,Psychic,null
Mew,#151,Mew,Psychic,null
