pokemon_name,pokedex_num,pkmn,type1,type2
Oricorio,#0100,Oricorio,Fire,Flying
Mareep,#0101,Mareep,Electric,null
Flaaffy,#0102,Flaaffy,Electric,null
Ampharos,#0103,Ampharos,Electric,null
Petilil,#0104,Petilil,Grass,null
Lilligant,#0105,Lilligant,Grass,null
Shroomish,#0106,Shroomish,Grass,null
Breloom,#0107,Breloom,Grass,Fighting
Applin,#0108,Applin,Grass,Dragon
Flapple,#0109,Flapple,Grass,Dragon
Appletun,#0110,Appletun,Grass,Dragon
Spoink,#0111,Spoink,Psychic,null
Grumpig,#0112,Grumpig,Psychic,null
Squawkabilly,#0113,Squawkabilly,Normal,Flying
Misdreavus,#0114,Misdreavus,Ghost,null
Mismagius,#0115,Mismagius,Ghost,null
Makuhita,#0116,Makuhita,Fighting,null
Hariyama,#0117,Hariyama,Fighting,null
Crabrawler,#0118,Crabrawler,Fighting,null
Crabominable,#0119,Crabominable,Fighting,Ice
Salandit,#0120,Salandit,Poison,Fire
Salazzle,#0121,Salazzle,Poison,Fire
Phanpy,#0122,Phanpy,Ground,null
Donphan,#0123,Donphan,Ground,null
Cufant,#0124,Cufant,Steel,null
Copperajah,#0125,Copperajah,Steel,null
Gible,#0126,Gible,Dragon,Ground
Gabite,#0127,Gabite,Dragon,Ground
Garchomp,#0128,Garchomp,Dragon,Ground
Nacli,#0129,Nacli,Rock,null
Naclstack,#0130,Naclstack,Rock,null
Garganacl,#0131,Garganacl,Rock,null
Wingull,#0132,Wingull,Water,Flying
Pelipper,#0133,Pelipper,Water,Flying
Magikarp,#0134,Magikarp,Water,null
Gyarados,#0135,Gyarados,Water,Flying
Arrokuda,#0136,Arrokuda,Water,null
Barraskewda,#0137,Barraskewda,Water,null
Basculin,#0138,Basculin,Water,null
Gulpin,#0139,Gulpin,Poison,null
Swalot,#0140,Swalot,Poison,null
Meowth,#0141,Meowth,Normal,null
Persian,#0142,Persian,Normal,null
Drifloon,#0143,Drifloon,Ghost,Flying
Drifblim,#0144,Drifblim,Ghost,Flying
Flabébé,#0145,Flabébé,Fairy,null
Floette,#0146,Floette,Fairy,null
Florges,#0147,Florges,Fairy,null
Diglett,#0148,Diglett,Ground,null
Dugtrio,#0149,Dugtrio,Ground,null
Torkoal,#0150,Torkoal,Fire,null
Numel,#0151,Numel,Fire,Ground
Camerupt,#0152,Camerupt,Fire,Ground
Bronzor,#0153,Bronzor,Steel,Psychic
Bronzong,#0154,Bronzong,Steel,Psychic
Axew,#0155,Axew,Dragon,null
Fraxure,#0156,Fraxure,Dragon,null
Haxorus,#0157,Haxorus,Dragon,null
Mankey,#0158,Mankey,Fighting,null
Primeape,#0159,Primeape,Fighting,null
Annihilape,#0160,Annihilape,Fighting,Ghost
Meditite,#0161,Meditite,Fighting,Psychic
Medicham,#0162,Medicham,Fighting,Psychic
Riolu,#0163,Riolu,Fighting,null
Lucario,#0164,Lucario,Fighting,Steel
Charcadet,#0165,Charcadet,Fire,null
Armarouge,#0166,Armarouge,Fire,Psychic
Ceruledge,#0167,Ceruledge,Fire,Ghost
Barboach,#0168,Barboach,Water,Ground
Whiscash,#0169,Whiscash,Water,Ground
Tadbulb,#0170,Tadbulb,Electric,null
Bellibolt,#0171,Bellibolt,Electric,null
Goomy,#0172,Goomy,Dragon,null
Sliggoo,#0173,Sliggoo,Dragon,null
Goodra,#0174,Goodra,Dragon,null
Croagunk,#0175,Croagunk,Poison,Fighting
Toxicroak,#0176,Toxicroak,Poison,Fighting
Wattrel,#0177,Wattrel,Electric,Flying
Kilowattrel,#0178,Kilowattrel,Electric,Flying
Eevee,#0179,Eevee,Normal,null
Vaporeon,#0180,Vaporeon,Water,null
Jolteon,#0181,Jolteon,Electric,null
Flareon,#0182,Flareon,Fire,null
Espeon,#0183,Espeon,Psychic,null
Umbreon,#0184,Umbreon,Dark,null
Leafeon,#0185,Leafeon,Grass,null
Glaceon,#0186,Glaceon,Ice,null
Sylveon,#0187,Sylveon,Fairy,null
Dunsparce,#0188,Dunsparce,Normal,null
Dudunsparce,#0189,Dudunsparce,Normal,null
Deerling,#0190,Deerling,Normal,Grass
Sawsbuck,#0191,Sawsbuck,Normal,Grass
Girafarig,#0192,Girafarig,Normal,Psychic
Farigiraf,#0193,Farigiraf,Normal,Psychic
Grimer,#0194,Grimer,Poison,null
Muk,#0195,Muk,Poison,null
Maschiff,#0196,Maschiff,Dark,null
Mabosstiff,#0197,Mabosstiff,Dark,null
Toxel,#0198,Toxel,Electric,Poison
Toxtricity,#0199,Toxtricity,Electric,Poison
Dedenne,#0200,Dedenne,Electric,Fairy
Pachirisu,#0201,Pachirisu,Electric,null
Shroodle,#0202,Shroodle,Poison,Normal
Grafaiai,#0203,Grafaiai,Poison,Normal
Stantler,#0204,Stantler,Normal,null
Foongus,#0205,Foongus,Grass,Poison
Amoonguss,#0206,Amoonguss,Grass,Poison
Voltorb,#0207,Voltorb,Electric,null
Electrode,#0208,Electrode,Electric,null
Magnemite,#0209,Magnemite,Electric,Steel
Magneton,#0210,Magneton,Electric,Steel
Magnezone,#0211,Magnezone,Electric,Steel
Ditto,#0212,Ditto,Normal,null
Growlithe,#0213,Growlithe,Fire,null
Arcanine,#0214,Arcanine,Fire,null
Teddiursa,#0215,Teddiursa,Normal,null
Ursaring,#0216,Ursaring,Normal,null
Zangoose,#0217,Zangoose,Normal,null
Seviper,#0218,Seviper,Poison,null
Swablu,#0219,Swablu,Normal,Flying
Altaria,#0220,Altaria,Dragon,Flying
Skiddo,#0221,Skiddo,Grass,null
Gogoat,#0222,Gogoat,Grass,null
Tauros,#0223,Tauros,Fighting,null
Litleo,#0224,Litleo,Fire,Normal
Pyroar,#0225,Pyroar,Fire,Normal
Stunky,#0226,Stunky,Poison,Dark
Skuntank,#0227,Skuntank,Poison,Dark
Zorua,#0228,Zorua,Dark,null
Zoroark,#0229,Zoroark,Dark,null
Sneasel,#0230,Sneasel,Dark,Ice
Weavile,#0231,Weavile,Dark,Ice
Murkrow,#0232,Murkrow,Dark,Flying
Honchkrow,#0233,Honchkrow,Dark,Flying
Gothita,#0234,Gothita,Psychic,null
Gothorita,#0235,Gothorita,Psychic,null
Gothitelle,#0236,Gothitelle,Psychic,null
Sinistea,#0237,Sinistea,Ghost,null
Polteageist,#0238,Polteageist,Ghost,null
Mimikyu,#0239,Mimikyu,Ghost,Fairy
Klefki,#0240,Klefki,Steel,Fairy
Indeedee,#0241,Indeedee,Psychic,Normal
Bramblin,#0242,Bramblin,Grass,Ghost
Brambleghast,#0243,Brambleghast,Grass,Ghost
Toedscool,#0244,Toedscool,Ground,Grass
Toedscruel,#0245,Toedscruel,Ground,Grass
Tropius,#0246,Tropius,Grass,Flying
Fomantis,#0247,Fomantis,Grass,null
Lurantis,#0248,Lurantis,Grass,null
Klawf,#0249,Klawf,Rock,null
Capsakid,#0250,Capsakid,Grass,null
Scovillain,#0251,Scovillain,Grass,Fire
Cacnea,#0252,Cacnea,Grass,null
Cacturne,#0253,Cacturne,Grass,Dark
Rellor,#0254,Rellor,Bug,null
Rabsca,#0255,Rabsca,Bug,Psychic
Venonat,#0256,Venonat,Bug,Poison
Venomoth,#0257,Venomoth,Bug,Poison
Pineco,#0258,Pineco,Bug,null
Forretress,#0259,Forretress,Bug,Steel
Scyther,#0260,Scyther,Bug,Flying
Scizor,#0261,Scizor,Bug,Steel
Heracross,#0262,Heracross,Bug,Fighting
Flittle,#0263,Flittle,Psychic,null
Espathra,#0264,Espathra,Psychic,null
Hippopotas,#0265,Hippopotas,Ground,null
Hippowdon,#0266,Hippowdon,Ground,null
Sandile,#0267,Sandile,Ground,Dark
Krokorok,#0268,Krokorok,Ground,Dark
Krookodile,#0269,Krookodile,Ground,Dark
Silicobra,#0270,Silicobra,Ground,null
Sandaconda,#0271,Sandaconda,Ground,null
Mudbray,#0272,Mudbray,Ground,null
Mudsdale,#0273,Mudsdale,Ground,null
Larvesta,#0274,Larvesta,Bug,Fire
Volcarona,#0275,Volcarona,Bug,Fire
Bagon,#0276,Bagon,Dragon,null
Shelgon,#0277,Shelgon,Dragon,null
Salamence,#0278,Salamence,Dragon,Flying
Tinkatink,#0279,Tinkatink,Fairy,Steel
Tinkatuff,#0280,Tinkatuff,Fairy,Steel
Tinkaton,#0281,Tinkaton,Fairy,Steel
Hatenna,#0282,Hatenna,Psychic,null
Hattrem,#0283,Hattrem,Psychic,null
Hatterene,#0284,Hatterene,Psychic,Fairy
Impidimp,#0285,Impidimp,Dark,Fairy
Morgrem,#0286,Morgrem,Dark,Fairy
Grimmsnarl,#0287,Grimmsnarl,Dark,Fairy
Wiglett,#0288,Wiglett,Water,null
Wugtrio,#0289,Wugtrio,Water,null
Bombirdier,#0290,Bombirdier,Flying,Dark
Finizen,#0291,Finizen,Water,null
Palafin,#0292,Palafin,Water,null
Varoom,#0293,Varoom,Steel,Poison
Revavroom,#0294,Revavroom,Steel,Poison
Cyclizar,#0295,Cyclizar,Dragon,Normal
Orthworm,#0296,Orthworm,Steel,null
Sableye,#0297,Sableye,Dark,Ghost
Shuppet,#0298,Shuppet,Ghost,null
Banette,#0299,Banette,Ghost,null
Falinks,#0300,Falinks,Fighting,null
Hawlucha,#0301,Hawlucha,Fighting,Flying
Spiritomb,#0302,Spiritomb,Ghost,Dark
Noibat,#0303,Noibat,Flying,Dragon
Noivern,#0304,Noivern,Flying,Dragon
Dreepy,#0305,Dreepy,Dragon,Ghost
Drakloak,#0306,Drakloak,Dragon,Ghost
Dragapult,#0307,Dragapult,Dragon,Ghost
Glimmet,#0308,Glimmet,Rock,Poison
Glimmora,#0309,Glimmora,Rock,Poison
Rotom,#0310,Rotom,Electric,Ghost
Greavard,#0311,Greavard,Ghost,null
Houndstone,#0312,Houndstone,Ghost,null
Oranguru,#0313,Oranguru,Normal,Psychic
Passimian,#0314,Passimian,Fighting,null
Komala,#0315,Komala,Normal,null
Larvitar,#0316,Larvitar,Rock,Ground
Pupitar,#0317,Pupitar,Rock,Ground
Tyranitar,#0318,Tyranitar,Rock,Dark
Stonjourner,#0319,Stonjourner,Rock,null
Eiscue,#0320,Eiscue,Ice,null
Pincurchin,#0321,Pincurchin,Electric,null
Sandygast,#0322,Sandygast,Ghost,Ground
Palossand,#0323,Palossand,Ghost,Ground
Slowpoke,#0324,Slowpoke,Water,Psychic
Slowbro,#0325,Slowbro,Water,Psychic
Slowking,#0326,Slowking,Water,Psychic
Shellos,#0327,Shellos,Water,null
Gastrodon,#0328,Gastrodon,Water,Ground
Shellder,#0329,Shellder,Water,null
Cloyster,#0330,Cloyster,Water,Ice
Qwilfish,#0331,Qwilfish,Water,Poison
Luvdisc,#0332,Luvdisc,Water,null
Finneon,#0333,Finneon,Water,null
Lumineon,#0334,Lumineon,Water,null
Bruxish,#0335,Bruxish,Water,Psychic
Alomomola,#0336,Alomomola,Water,null
Skrelp,#0337,Skrelp,Poison,Water
Dragalge,#0338,Dragalge,Poison,Dragon
Clauncher,#0339,Clauncher,Water,null
Clawitzer,#0340,Clawitzer,Water,null
Tynamo,#0341,Tynamo,Electric,null
Eelektrik,#0342,Eelektrik,Electric,null
Eelektross,#0343,Eelektross,Electric,null
Mareanie,#0344,Mareanie,Poison,Water
Toxapex,#0345,Toxapex,Poison,Water
Flamigo,#0346,Flamigo,Flying,Fighting
Dratini,#0347,Dratini,Dragon,null
Dragonair,#0348,Dragonair,Dragon,null
Dragonite,#0349,Dragonite,Dragon,Flying
Snom,#0350,Snom,Ice,Bug
Frosmoth,#0351,Frosmoth,Ice,Bug
Snover,#0352,Snover,Grass,Ice
Abomasnow,#0353,Abomasnow,Grass,Ice
Delibird,#0354,Delibird,Ice,Flying
Cubchoo,#0355,Cubchoo,Ice,null
Beartic,#0356,Beartic,Ice,null
Snorunt,#0357,Snorunt,Ice,null
Glalie,#0358,Glalie,Ice,null
Froslass,#0359,Froslass,Ice,Ghost
Cryogonal,#0360,Cryogonal,Ice,null
Cetoddle,#0361,Cetoddle,Ice,null
Cetitan,#0362,Cetitan,Ice,null
Bergmite,#0363,Bergmite,Ice,null
Avalugg,#0364,Avalugg,Ice,null
Rufflet,#0365,Rufflet,Normal,Flying
Braviary,#0366,Braviary,Normal,Flying
Pawniard,#0367,Pawniard,Dark,Steel
Bisharp,#0368,Bisharp,Dark,Steel
Kingambit,#0369,Kingambit,Dark,Steel
Deino,#0370,Deino,Dark,Dragon
Zweilous,#0371,Zweilous,Dark,Dragon
Hydreigon,#0372,Hydreigon,Dark,Dragon
Veluza,#0373,Veluza,Water,Psychic
Dondozo,#0374,Dondozo,Water,null
Tatsugiri,#0375,Tatsugiri,Dragon,Water
Great Tusk,#0376,Great Tusk,Ground,Fighting
Scream Tail,#0377,Scream Tail,Fairy,Psychic
Brute Bonnet,#0378,Brute Bonnet,Grass,Dark
Flutter Mane,#0379,Flutter Mane,Ghost,Fairy
Slither Wing,#0380,Slither Wing,Bug,Fighting
Sandy Shocks,#0381,Sandy Shocks,Electric,Ground
Iron Treads,#0382,Iron Treads,Ground,Steel
Iron Bundle,#0383,Iron Bundle,Ice,Water
Iron Hands,#0384,Iron Hands,Fighting,Electric
Iron Jugulis,#0385,Iron Jugulis,Dark,Flying
Iron Moth,#0386,Iron Moth,Fire,Poison
Iron Thorns,#0387,Iron Thorns,Rock,Electric
Frigibax,#0388,Frigibax,Dragon,Ice
Arctibax,#0389,Arctibax,Dragon,Ice
Baxcalibur,#0390,Baxcalibur,Dragon,Ice
Gimmighoul,#0391,Gimmighoul,Ghost,null
Gholdengo,#0392,Gholdengo,Steel,Ghost
Wo-Chien,#0393,Wo-Chien,Dark,Grass
Chien-Pao,#0394,Chien-Pao,Dark,Ice
Ting-Lu,#0395,Ting-Lu,Dark,Ground
Chi-Yu,#0396,Chi-Yu,Dark,Fire
Roaring Moon,#0397,Roaring Moon,Dragon,Dark
Iron Valiant,#0398,Iron Valiant,Fairy,Fighting
Koraidon,#0399,Koraidon,Fighting,Dragon
Miraidon,#0400,Miraidon,Electric,Dragon






