pokemon_name,pokedex_num,type1,type2
Natu,#161,Psychic,Flying
Xatu,#162,Psychic,Flying
Qwilfish,#163,Water,Poison
Tentacool,#164,Water,Poison
Tentacruel,#165,Water,Poison
Krabby,#166,Water,null
Kingler,#167,Water,null
Shuckle,#168,Bug,Rock
Staryu,#169,Water,null
Starmie,#170,Water,Psychic
Shellder,#171,Water,null
Cloyster,#172,Water,Ice
Corsola,#173,Water,Rock
Remoraid,#174,Water,null
Octillery,#175,Water,null
Chinchou,#176,Water,Electric
Lanturn,#177,Water,Electric
Seel,#178,Water,null
Dewgong,#179,Water,Ice
Lickitung,#180,Normal,null
Lickilicky,#181,Normal,null
Tangela,#182,Grass,null
Tangrowth,#183,Grass,null
Eevee,#184,Normal,null
Vaporeon,#185,Water,null
Jolteon,#186,Electric,null
Flareon,#187,Fire,null
Espeon,#188,Psychic,null
Umbreon,#189,Dark,null
Horsea,#190,Water,null
Seadra,#191,Water,null
Kingdra,#192,Water,Dragon
Gligar,#193,Ground,Flying
Delibird,#194,Ice,Flying
Swinub,#195,Ice,Ground
Piloswine,#196,Ice,Ground
Mamoswine,#197,Ice,Ground
Teddiursa,#198,Normal,null
Ursaring,#199,Normal,null
Phanpy,#200,Ground,null
Donphan,#201,Ground,null
Mantine,#202,Water,Flying
Skarmory,#203,Steel,Flying
Doduo,#204,Normal,Flying
Dodrio,#205,Normal,Flying
Ponyta,#206,Fire,null
Rapidash,#207,Fire,null
Cubone,#208,Ground,null
Marowak,#209,Ground,null
Kangaskhan,#210,Normal,null
Rhyhorn,#211,Ground,Rock
Rhydon,#212,Ground,Rock
Murkrow,#213,Dark,Flying
Houndour,#214,Dark,Fire
Houndoom,#215,Dark,Fire
Slugma,#216,Fire,null
Magcargo,#217,Fire,Rock
Sneasel,#218,Dark,Ice
Misdreavus,#219,Ghost,null
Porygon,#220,Normal,null
Porygon2,#221,Normal,null
Chansey,#222,Normal,null
Blissey,#223,Normal,null
Lapras,#224,Water,Ice
Omanyte,#225,Rock,Water
Omastar,#226,Rock,Water
Kabuto,#227,Rock,Water
Kabutops,#228,Rock,Water
Aerodactyl,#229,Rock,Flying
Snorlax,#230,Normal,null
Bulbasaur,#231,Grass,Poison
Ivysaur,#232,Grass,Poison
Venusaur,#233,Grass,Poison
Charmander,#234,Fire,null
Charmeleon,#235,Fire,null
Charizard,#236,Fire,Flying
Squirtle,#237,Water,null
Wartortle,#238,Water,null
Blastoise,#239,Water,null
Articuno,#240,Ice,Flying
Zapdos,#241,Electric,Flying
Moltres,#242,Fire,Flying
Raikou,#243,Electric,null
Entei,#244,Fire,null
Suicune,#245,Water,null
Dratini,#246,Dragon,null
Dragonair,#247,Dragon,null
Dragonite,#248,Dragon,Flying
Larvitar,#249,Rock,Ground
Pupitar,#250,Rock,Ground
Tyranitar,#251,Rock,Dark
Lugia,#252,Psychic,Flying
Ho-oh,#253,Fire,Flying
Mewtwo,#254,Psychic,null
Mew,#255,Psychic,null
Celebi,#256,Psychic,Grass
