pokemon_name,pokedex_num,type1,type2
Lillipup,#150,Normal,null
Herdier,#151,Normal,null
Stoutland,#152,Normal,null
Eevee,#153,Normal,null
Vaporeon,#154,Water,null
Jolteon,#155,Electric,null
Flareon,#156,Fire,null
Espeon,#157,Psychic,null
Umbreon,#158,Dark,null
Leafeon,#159,Grass,null
Glaceon,#160,Ice,null
Sylveon,#161,Fairy,null
Mareep,#162,Electric,null
Flaaffy,#163,Electric,null
Ampharos,#164,Electric,null
Mudbray,#165,Ground,null
Mudsdale,#166,Ground,null
Igglybuff,#167,Normal,Fairy
Jigglypuff,#168,Normal,Fairy
Wigglytuff,#169,Normal,Fairy
Tauros,#170,Normal,null
Miltank,#171,Normal,null
Surskit,#172,Bug,Water
Masquerain,#173,Bug,Flying
Dewpider,#174,Water,Bug
Araquanid,#175,Water,Bug
Fomantis,#176,Grass,null
Lurantis,#177,Grass,null
Morelull,#178,Grass,Fairy
Shiinotic,#179,Grass,Fairy
Paras,#180,Bug,Grass
Parasect,#181,Bug,Grass
Poliwag,#182,Water,null
Poliwhirl,#183,Water,null
Poliwrath,#184,Water,Fighting
Politoed,#185,Water,null
Goldeen,#186,Water,null
Seaking,#187,Water,null
Basculin,#188,Water,null
Feebas,#189,Water,null
Milotic,#190,Water,null
Alomomola,#191,Water,null
Fletchling,#192,Normal,Flying
Fletchinder,#193,Fire,Flying
Talonflame,#194,Fire,Flying
Salandit,#195,Poison,Fire
Salazzle,#196,Poison,Fire
Cubone,#197,Ground,null
Marowak,#198,Fire,Ghost
Kangaskhan,#199,Normal,null
Magby,#200,Fire,null
Magmar,#201,Fire,null
Magmortar,#202,Fire,null
Larvesta,#203,Bug,Fire
Volcarona,#204,Bug,Fire
Stufful,#205,Normal,Fighting
Bewear,#206,Normal,Fighting
Bounsweet,#207,Grass,null
Steenee,#208,Grass,null
Tsareena,#209,Grass,null
Comfey,#210,Fairy,null
Pinsir,#211,Bug,null
Hoothoot,#212,Normal,Flying
Noctowl,#213,Normal,Flying
Kecleon,#214,Normal,null
Oranguru,#215,Normal,Psychic
Passimian,#216,Fighting,null
Goomy,#217,Dragon,null
Sliggoo,#218,Dragon,null
Goodra,#219,Dragon,null
Castform,#220,Normal,null
Wimpod,#221,Bug,Water
Golisopod,#222,Bug,Water
Staryu,#223,Water,null
Starmie,#224,Water,Psychic
Sandygast,#225,Ghost,Ground
Palossand,#226,Ghost,Ground
Omanyte,#227,Rock,Water
Omastar,#228,Rock,Water
Kabuto,#229,Rock,Water
Kabutops,#230,Rock,Water
Lileep,#231,Rock,Grass
Cradily,#232,Rock,Grass
Anorith,#233,Rock,Bug
Armaldo,#234,Rock,Bug
Cranidos,#235,Rock,null
Rampardos,#236,Rock,null
Shieldon,#237,Rock,Steel
Bastiodon,#238,Rock,Steel
Archen,#239,Rock,Flying
Archeops,#240,Rock,Flying
Tirtouga,#241,Water,Rock
Carracosta,#242,Water,Rock
Tyrunt,#243,Rock,Dragon
Tyrantrum,#244,Rock,Dragon
Amaura,#245,Rock,Ice
Aurorus,#246,Rock,Ice
Larvitar,#247,Rock,Ground
Pupitar,#248,Rock,Ground
Tyranitar,#249,Rock,Dark
Phantump,#250,Ghost,Grass
Trevenant,#251,Ghost,Grass
Natu,#252,Psychic,Flying
Xatu,#253,Psychic,Flying
Nosepass,#254,Rock,null
Probopass,#255,Rock,Steel
Pyukumuku,#256,Water,null
Chinchou,#257,Water,Electric
Lanturn,#258,Water,Electric
Type: Null,#259,Normal,null
Silvally,#260,Normal,null
Poipole,#261,Poison,null
Naganadel,#262,Poison,Dragon
Zygarde,#263,Dragon,Ground
Trubbish,#264,Poison,null
Garbodor,#265,Poison,null
Minccino,#266,Normal,null
Cinccino,#267,Normal,null
Pineco,#268,Bug,null
Forretress,#269,Bug,Steel
Skarmory,#270,Steel,Flying
Ditto,#271,Normal,null
Cleffa,#272,Fairy,null
Clefairy,#273,Fairy,null
Clefable,#274,Fairy,null
Elgyem,#275,Psychic,null
Beheeyem,#276,Psychic,null
Minior,#277,Rock,Flying
Beldum,#278,Steel,Psychic
Metang,#279,Steel,Psychic
Metagross,#280,Steel,Psychic
Porygon,#281,Normal,null
Porygon2,#282,Normal,null
Porygon-Z,#283,Normal,null
Pancham,#284,Fighting,null
Pangoro,#285,Fighting,Dark
Komala,#286,Normal,null
Torkoal,#287,Fire,null
Turtonator,#288,Fire,Dragon
Houndour,#289,Dark,Fire
Houndoom,#290,Dark,Fire
Dedenne,#291,Electric,Fairy
Togedemaru,#292,Electric,Steel
Electrike,#293,Electric,null
Manectric,#294,Electric,null
Elekid,#295,Electric,null
Electabuzz,#296,Electric,null
Electivire,#297,Electric,null
Geodude,#298,Rock,Electric
Graveler,#299,Rock,Electric
Golem,#300,Rock,Electric
Sandile,#301,Ground,Dark
Krokorok,#302,Ground,Dark
Krookodile,#303,Ground,Dark
Trapinch,#304,Ground,null
Vibrava,#305,Ground,Dragon
Flygon,#306,Ground,Dragon
Gible,#307,Dragon,Ground
Gabite,#308,Dragon,Ground
Garchomp,#309,Dragon,Ground
Baltoy,#310,Ground,Psychic
Claydol,#311,Ground,Psychic
Golett,#312,Ground,Ghost
Golurk,#313,Ground,Ghost
Klefki,#314,Steel,Fairy
Mimikyu,#315,Ghost,Fairy
Shuppet,#316,Ghost,null
Banette,#317,Ghost,null
Frillish,#318,Water,Ghost
Jellicent,#319,Water,Ghost
Bruxish,#320,Water,Psychic
Drampa,#321,Normal,Dragon
Absol,#322,Dark,null
Snorunt,#323,Ice,null
Glalie,#324,Ice,null
Froslass,#325,Ice,Ghost
Sneasel,#326,Dark,Ice
Weavile,#327,Dark,Ice
Sandshrew,#328,Ice,Steel
Sandslash,#329,Ice,Steel
Vulpix,#330,Ice,null
Ninetales,#331,Ice,Fairy
Vanillite,#332,Ice,null
Vanillish,#333,Ice,null
Vanilluxe,#334,Ice,null
Scraggy,#335,Dark,Fighting
Scrafty,#336,Dark,Fighting
Pawniard,#337,Dark,Steel
Bisharp,#338,Dark,Steel
Snubbull,#339,Fairy,null
Granbull,#340,Fairy,null
Shellos,#341,Water,null
Gastrodon,#342,Water,Ground
Relicanth,#343,Water,Rock
Dhelmise,#344,Ghost,Grass
Carvanha,#345,Water,Dark
Sharpedo,#346,Water,Dark
Skrelp,#347,Poison,Water
Dragalge,#348,Poison,Dragon
Clauncher,#349,Water,null
Clawitzer,#350,Water,null
Wailmer,#351,Water,null
Wailord,#352,Water,null
Lapras,#353,Water,Ice
Tropius,#354,Grass,Flying
Exeggcute,#355,Grass,Psychic
Exeggutor,#356,Grass,Dragon
Corphish,#357,Water,null
Crawdaunt,#358,Water,Dark
Mienfoo,#359,Fighting,null
Mienshao,#360,Fighting,null
Jangmo-o,#361,Dragon,null
Hakamo-o,#362,Dragon,Fighting
Kommo-o,#363,Dragon,Fighting
Emolga,#364,Electric,Flying
Scyther,#365,Bug,Flying
Scizor,#366,Bug,Steel
Heracross,#367,Bug,Fighting
Aipom,#368,Normal,null
Ambipom,#369,Normal,null
Litleo,#370,Fire,Normal
Pyroar,#371,Fire,Normal
Misdreavus,#372,Ghost,null
Mismagius,#373,Ghost,null
Druddigon,#374,Dragon,null
Lickitung,#375,Normal,null
Lickilicky,#376,Normal,null
Riolu,#377,Fighting,null
Lucario,#378,Fighting,Steel
Dratini,#379,Dragon,null
Dragonair,#380,Dragon,null
Dragonite,#381,Dragon,Flying
Aerodactyl,#382,Rock,Flying
Tapu Koko,#383,Electric,Fairy
Tapu Lele,#384,Psychic,Fairy
Tapu Bulu,#385,Grass,Fairy
Tapu Fini,#386,Water,Fairy
Cosmog,#387,Psychic,null
Cosmoem,#388,Psychic,null
Solgaleo,#389,Psychic,Steel
Lunala,#390,Psychic,Ghost
Stakataka,#391,Rock,Steel
Blacephalon,#392,Fire,Ghost
Nihilego,#393,Rock,Poison
Buzzwole,#394,Bug,Fighting
Pheromosa,#395,Bug,Fighting
Xurkitree,#396,Electric,null
Celesteela,#397,Steel,Flying
Kartana,#398,Grass,Steel
Guzzlord,#399,Dark,Dragon
Necrozma,#400,Psychic,null
Magearna,#401,Steel,Fairy
Marshadow,#402,Fighting,Ghost
Zeraora,#403,Electric,null
