Name,Number,Type1,Type2
Altaria,#127,Dragon,Flying
Zangoose,#128,Normal,null
Seviper,#129,Poison,null
Lunatone,#130,Rock,Psychic
Solrock,#131,Rock,Psychic
Barboach,#132,Water,Ground
Whiscash,#133,Water,Ground
Corphish,#134,Water,null
Crawdaunt,#135,Water,Dark
Baltoy,#136,Ground,Psychic
Claydol,#137,Ground,Psychic
Lileep,#138,Rock,Grass
Cradily,#139,Rock,Grass
Anorith,#140,Rock,Bug
Armaldo,#141,Rock,Bug
Igglybuff,#142,Normal,Fairy
Jigglypuff,#143,Normal,Fairy
Wigglytuff,#144,Normal,Fairy
Feebas,#145,Water,null
Milotic,#146,Water,null
Castform,#147,Normal,null
Staryu,#148,Water,null
Starmie,#149,Water,Psychic
Kecleon,#150,Normal,null
Shuppet,#151,Ghost,null
Banette,#152,Ghost,null
Duskull,#153,Ghost,null
Dusclops,#154,Ghost,null
Dusknoir,#155,Ghost,null
Tropius,#156,Grass,Flying
Chingling,#157,Psychic,null
Chimecho,#158,Psychic,null
Absol,#159,Dark,null
Vulpix,#160,Fire,null
Ninetales,#161,Fire,null
Pichu,#162,Electric,null
Pikachu,#163,Electric,null
Raichu,#164,Electric,null
Psyduck,#165,Water,null
Golduck,#166,Water,null
Wynaut,#167,Psychic,null
Wobbuffet,#168,Psychic,null
Natu,#169,Psychic,Flying
Xatu,#170,Psychic,Flying
Girafarig,#171,Normal,Psychic
Phanpy,#172,Ground,null
Donphan,#173,Ground,null
Pinsir,#174,Bug,null
Heracross,#175,Bug,Fighting
Rhyhorn,#176,Ground,Rock
Rhydon,#177,Ground,Rock
Rhyperior,#178,Ground,Rock
Snorunt,#179,Ice,null
Glalie,#180,Ice,null
Froslass,#181,Ice,Ghost
Spheal,#182,Ice,Water
Sealeo,#183,Ice,Water
Walrein,#184,Ice,Water
Clamperl,#185,Water,null
Huntail,#186,Water,null
Gorebyss,#187,Water,null
Relicanth,#188,Water,Rock
Corsola,#189,Water,Rock
Chinchou,#190,Water,Electric
Lanturn,#191,Water,Electric
Luvdisc,#192,Water,null
Horsea,#193,Water,null
Seadra,#194,Water,null
Kingdra,#195,Water,Dragon
Bagon,#196,Dragon,null
Shelgon,#197,Dragon,null
Salamence,#198,Dragon,Flying
Beldum,#199,Steel,Psychic
Metang,#200,Steel,Psychic
Metagross,#201,Steel,Psychic
Regirock,#202,Rock,null
Regice,#203,Ice,null
Registeel,#204,Steel,null
Latias,#205,Dragon,Psychic
Latios,#206,Dragon,Psychic
Kyogre,#207,Water,null
Groudon,#208,Ground,null
Rayquaza,#209,Dragon,Flying
Jirachi,#210,Steel,Psychic
Deoxys,#211,Psychic,null
