pokemon_name,pokedex_num,pkmn,type1,type2
Sudowoodo,106,Sudowoodo,Rock,null
Wobbuffet,107,Wobbuffet,Psychic,null
Venonat,108,Venonat,Bug,Poison
Venomoth,109,Venomoth,Bug,Poison
Scyther,110,Scyther,Bug,Flying
Scizor,111,Scizor,Bug,Steel
Pinsir,112,Pinsir,Bug,null
Heracross,113,Heracross,Bug,Fighting
Koffing,114,Koffing,Poison,null
Weezing,115,Weezing,Poison,null
Grimer,116,Grimer,Poison,null
Muk,117,Muk,Poison,null
Magnemite,118,Magnemite,Electric,Steel
Magneton,119,Magneton,Electric,Steel
Voltorb,120,Voltorb,Electric,null
Electrode,121,Electrode,Electric,null
Aipom,122,Aipom,Normal,null
Snubbull,123,Snubbull,Normal,null
Granbull,124,Granbull,Normal,null
Vulpix,125,Vulpix,Fire,null
Ninetales,126,Ninetales,Fire,null
Growlithe,127,Growlithe,Fire,null
Arcanine,128,Arcanine,Fire,null
Stantler,129,Stantler,Normal,null
Marill,130,Marill,Water,null
Azumarill,131,Azumarill,Water,null
Diglett,132,Diglett,Ground,null
Dugtrio,133,Dugtrio,Ground,null
Mankey,134,Mankey,Fighting,null
Primeape,135,Primeape,Fighting,null
Meowth,136,Meowth,Normal,null
Persian,137,Persian,Normal,null
Psyduck,138,Psyduck,Water,null
Golduck,139,Golduck,Water,null
Machop,140,Machop,Fighting,null
Machoke,141,Machoke,Fighting,null
Machamp,142,Machamp,Fighting,null
Tyrogue,143,Tyrogue,Fighting,null
Hitmonlee,144,Hitmonlee,Fighting,null
Hitmonchan,145,Hitmonchan,Fighting,null
Hitmontop,146,Hitmontop,Fighting,null
Girafarig,147,Girafarig,Normal,Psychic
Tauros,148,Tauros,Normal,null
Miltank,149,Miltank,Normal,null
Magby,150,Magby,Fire,null
Magmar,151,Magmar,Fire,null
Smoochum,152,Smoochum,Ice,Psychic
Jynx,153,Jynx,Ice,Psychic
Elekid,154,Elekid,Electric,null
Electabuzz,155,Electabuzz,Electric,null
Mr. Mime,156,Mr. Mime,Psychic,null
Smeargle,157,Smeargle,Normal,null
Farfetch'd,158,Farfetch'd,Normal,Flying
Natu,159,Natu,Psychic,Flying
Xatu,160,Xatu,Psychic,Flying
Qwilfish,161,Qwilfish,Water,Poison
Tentacool,162,Tentacool,Water,Poison
Tentacruel,163,Tentacruel,Water,Poison
Krabby,164,Krabby,Water,null
Kingler,165,Kingler,Water,null
Shuckle,166,Shuckle,Bug,Rock
Staryu,167,Staryu,Water,null
Starmie,168,Starmie,Water,Psychic
Shellder,169,Shellder,Water,null
Cloyster,170,Cloyster,Water,Ice
Corsola,171,Corsola,Water,Rock
Remoraid,172,Remoraid,Water,null
Octillery,173,Octillery,Water,null
Chinchou,174,Chinchou,Water,Electric
Lanturn,175,Lanturn,Water,Electric
Seel,176,Seel,Water,null
Dewgong,177,Dewgong,Water,Ice
Lickitung,178,Lickitung,Normal,null
Tangela,179,Tangela,Grass,null
Eevee,180,Eevee,Normal,null
Vaporeon,181,Vaporeon,Water,null
Jolteon,182,Jolteon,Electric,null
Flareon,183,Flareon,Fire,null
Espeon,184,Espeon,Psychic,null
Umbreon,185,Umbreon,Dark,null
Horsea,186,Horsea,Water,null
Seadra,187,Seadra,Water,null
Kingdra,188,Kingdra,Water,Dragon
Gligar,189,Gligar,Ground,Flying
Delibird,190,Delibird,Ice,Flying
Swinub,191,Swinub,Ice,Ground
Piloswine,192,Piloswine,Ice,Ground
Teddiursa,193,Teddiursa,Normal,null
Ursaring,194,Ursaring,Normal,null
Phanpy,195,Phanpy,Ground,null
Donphan,196,Donphan,Ground,null
Mantine,197,Mantine,Water,Flying
Skarmory,198,Skarmory,Steel,Flying
Doduo,199,Doduo,Normal,Flying
Dodrio,200,Dodrio,Normal,Flying
Ponyta,201,Ponyta,Fire,null
Rapidash,202,Rapidash,Fire,null
Cubone,203,Cubone,Ground,null
Marowak,204,Marowak,Ground,null
Kangaskhan,205,Kangaskhan,Normal,null
Rhyhorn,206,Rhyhorn,Ground,Rock
Rhydon,207,Rhydon,Ground,Rock
Murkrow,208,Murkrow,Dark,Flying
Houndour,209,Houndour,Dark,Fire
Houndoom,210,Houndoom,Dark,Fire
Slugma,211,Slugma,Fire,null
Magcargo,212,Magcargo,Fire,Rock
Sneasel,213,Sneasel,Dark,Ice
Misdreavus,214,Misdreavus,Ghost,null
Porygon,215,Porygon,Normal,null
Porygon2,216,Porygon2,Normal,null
Chansey,217,Chansey,Normal,null
Blissey,218,Blissey,Normal,null
Lapras,219,Lapras,Water,Ice
Omanyte,220,Omanyte,Rock,Water
Omastar,221,Omastar,Rock,Water
Kabuto,222,Kabuto,Rock,Water
Kabutops,223,Kabutops,Rock,Water
Aerodactyl,224,Aerodactyl,Rock,Flying
Snorlax,225,Snorlax,Normal,null
Articuno,226,Articuno,Ice,Flying
Zapdos,227,Zapdos,Electric,Flying
Moltres,228,Moltres,Fire,Flying
Dratini,229,Dratini,Dragon,null
Dragonair,230,Dragonair,Dragon,null
Dragonite,231,Dragonite,Dragon,Flying
Raikou,232,Raikou,Electric,null
Entei,233,Entei,Fire,null
Suicune,234,Suicune,Water,null
Larvitar,235,Larvitar,Rock,Ground
Pupitar,236,Pupitar,Rock,Ground
Tyranitar,237,Tyranitar,Rock,Dark
Lugia,238,Lugia,Psychic,Flying
Ho-oh,239,Ho-oh,Fire,Flying
