pokemon_name,pokedex_num,pkmn,type1,type2
Kadabra,059,Kadabra,Psychic,null
Alakazam,060,Alakazam,Psychic,null
Chimchar,061,Chimchar,Fire,null
Monferno,062,Monferno,Fire,Fighting
Infernape,063,Infernape,Fire,Fighting
Buneary,064,Buneary,Normal,null
Lopunny,065,Lopunny,Normal,null
Cherubi,066,Cherubi,Grass,null
Cherrim,067,Cherrim,Grass,null
Psyduck,068,Psyduck,Water,null
Golduck,069,Golduck,Water,null
Combee,070,Combee,Bug,Flying
Vespiquen,071,Vespiquen,Bug,Flying
Scyther,072,Scyther,Bug,Flying
Kleavor,073,Kleavor,Bug,Rock
Scizor,074,Scizor,Bug,Steel
Heracross,075,Heracross,Bug,Fighting
Mime Jr.,076,Mime Jr.,Psychic,Fairy
Mr. Mime,077,Mr. Mime,Psychic,Fairy
Aipom,078,Aipom,Normal,null
Ambipom,079,Ambipom,Normal,null
Magikarp,080,Magikarp,Water,null
Gyarados,081,Gyarados,Water,Flying
Shellos,082,Shellos,Water,null
Gastrodon,083,Gastrodon,Water,Ground
Qwilfish,084,Qwilfish,Dark,Poison
Overqwil,085,Overqwil,Dark,Poison
Happiny,086,Happiny,Normal,null
Chansey,087,Chansey,Normal,null
Blissey,088,Blissey,Normal,null
Budew,089,Budew,Grass,Poison
Roselia,090,Roselia,Grass,Poison
Roserade,091,Roserade,Grass,Poison
Carnivine,092,Carnivine,Grass,null
Petilil,093,Petilil,Grass,null
Lilligant,094,Lilligant,Grass,Fighting
Tangela,095,Tangela,Grass,null
Tangrowth,096,Tangrowth,Grass,null
Barboach,097,Barboach,Water,Ground
Whiscash,098,Whiscash,Water,Ground
Croagunk,099,Croagunk,Poison,Fighting
Toxicroak,100,Toxicroak,Poison,Fighting
Ralts,101,Ralts,Psychic,Fairy
Kirlia,102,Kirlia,Psychic,Fairy
Gardevoir,103,Gardevoir,Psychic,Fairy
Gallade,104,Gallade,Psychic,Fighting
Yanma,105,Yanma,Bug,Flying
Yanmega,106,Yanmega,Bug,Flying
Hippopotas,107,Hippopotas,Ground,null
Hippowdon,108,Hippowdon,Ground,null
Pachirisu,109,Pachirisu,Electric,null
Stunky,110,Stunky,Poison,Dark
Skuntank,111,Skuntank,Poison,Dark
Teddiursa,112,Teddiursa,Normal,null
Ursaring,113,Ursaring,Normal,null
Ursaluna,114,Ursaluna,Ground,Normal
Goomy,115,Goomy,Dragon,null
Sliggoo,116,Sliggoo,Steel,Dragon
Goodra,117,Goodra,Steel,Dragon
Onix,118,Onix,Rock,Ground
Steelix,119,Steelix,Steel,Ground
Rhyhorn,120,Rhyhorn,Ground,Rock
Rhydon,121,Rhydon,Ground,Rock
Rhyperior,122,Rhyperior,Ground,Rock
Bonsly,123,Bonsly,Rock,null
Sudowoodo,124,Sudowoodo,Rock,null
Lickitung,125,Lickitung,Normal,null
Lickilicky,126,Lickilicky,Normal,null
Togepi,127,Togepi,Fairy,null
Togetic,128,Togetic,Fairy,Flying
Togekiss,129,Togekiss,Fairy,Flying
Turtwig,130,Turtwig,Grass,null
Grotle,131,Grotle,Grass,null
Torterra,132,Torterra,Grass,Ground
Porygon,133,Porygon,Normal,null
Porygon2,134,Porygon2,Normal,null
Porygon-Z,135,Porygon-Z,Normal,null
Gastly,136,Gastly,Ghost,Poison
Haunter,137,Haunter,Ghost,Poison
Gengar,138,Gengar,Ghost,Poison
Spiritomb,139,Spiritomb,Ghost,Dark
Murkrow,140,Murkrow,Dark,Flying
Honchkrow,141,Honchkrow,Dark,Flying
Unown,142,Unown,Psychic,null
Spheal,143,Spheal,Ice,Water
Sealeo,144,Sealeo,Ice,Water
Walrein,145,Walrein,Ice,Water
Remoraid,146,Remoraid,Water,null
Octillery,147,Octillery,Water,null
Skorupi,148,Skorupi,Poison,Bug
Drapion,149,Drapion,Poison,Dark
Growlithe,150,Growlithe,Fire,Rock
Arcanine,151,Arcanine,Fire,Rock
Glameow,152,Glameow,Normal,null
Purugly,153,Purugly,Normal,null
Machop,154,Machop,Fighting,null
Machoke,155,Machoke,Fighting,null
Machamp,156,Machamp,Fighting,null
Chatot,157,Chatot,Normal,Flying
Duskull,158,Duskull,Ghost,null
Dusclops,159,Dusclops,Ghost,null
Dusknoir,160,Dusknoir,Ghost,null
Piplup,161,Piplup,Water,null
Prinplup,162,Prinplup,Water,null
Empoleon,163,Empoleon,Water,Steel
Mantyke,164,Mantyke,Water,Flying
Mantine,165,Mantine,Water,Flying
Basculin,166,Basculin,Water,null
Basculegion,167,Basculegion,Water,Ghost
Vulpix,168,Vulpix,Ice,null
Ninetales,169,Ninetales,Ice,null
Rufflet,170,Rufflet,Normal,Flying
Braviary,171,Braviary,Psychic,Flying
Ralts,172,Ralts,Psychic,Fairy
Kirlia,173,Kirlia,Psychic,Fairy
Gardevoir,174,Gardevoir,Psychic,Fairy
Gallade,175,Gallade,Psychic,Fighting
Bergmite,176,Bergmite,Ice,null
Avalugg,177,Avalugg,Ice,null
Regigigas,178,Regigigas,Normal,null
Ponyta,179,Ponyta,Fire,null
Rapidash,180,Rapidash,Fire,null
Pichu,181,Pichu,Electric,null
Pikachu,182,Pikachu,Electric,null
Raichu,183,Raichu,Electric,null
Cleffa,184,Cleffa,Fairy,null
Clefairy,185,Clefairy,Fairy,null
Clefable,186,Clefable,Fairy,null
Happiny,187,Happiny,Normal,null
Chansey,188,Chansey,Normal,null
Blissey,189,Blissey,Normal,null
Cresselia,232,Cresselia,Psychic,null
Tornadus,233,Tornadus,Flying,null
Thundurus,234,Thundurus,Electric,Flying
Landorus,235,Landorus,Ground,Flying
Enamorus,236,Enamorus,Fairy,Flying
Shaymin,237,Shaymin,Grass,null
Shaymin,238,Shaymin Sky Forme,Grass,Flying
Darkrai,239,Darkrai,Dark,null
Manaphy,240,Manaphy,Water,null
Phione,241,Phione,Water,null
Arceus,242,Arceus,Normal,null
