pokemon_name,pokedex_num,pkmn,type1,type2
Pangoro,#092,Pangoro,Fighting,Dark
Furfrou,#093,Furfrou,Normal,null
Doduo,#094,Doduo,Normal,Flying
Dodrio,#095,Dodrio,Normal,Flying
Plusle,#096,Plusle,Electric,null
Minun,#097,Minun,Electric,null
Gulpin,#098,Gulpin,Poison,null
Swalot,#099,Swalot,Poison,null
Scraggy,#100,Scraggy,Dark,Fighting
Scrafty,#101,Scrafty,Dark,Fighting
Abra,#102,Abra,Psychic,null
Kadabra,#103,Kadabra,Psychic,null
Alakazam,#104,Alakazam,Psychic,null
Oddish,#105,Oddish,Grass,Poison
Gloom,#106,Gloom,Grass,Poison
Vileplume,#107,Vileplume,Grass,Poison
Bellossom,#108,Bellossom,Grass,null
Sentret,#109,Sentret,Normal,null
Furret,#110,Furret,Normal,null
Nincada,#111,Nincada,Bug,Ground
Ninjask,#112,Ninjask,Bug,Flying
Shedinja,#113,Shedinja,Bug,Ghost
Espurr,#114,Espurr,Psychic,null
Meowstic,#115,Meowstic,Psychic,null
Kecleon,#116,Kecleon,Normal,null
Honedge,#117,Honedge,Steel,Ghost
Doublade,#118,Doublade,Steel,Ghost
Aegislash,#119,Aegislash,Steel,Ghost
Venipede,#120,Venipede,Bug,Poison
Whirlipede,#121,Whirlipede,Bug,Poison
Scolipede,#122,Scolipede,Bug,Poison
Audino,#123,Audino,Normal,null
Smeargle,#124,Smeargle,Normal,null
Croagunk,#125,Croagunk,Poison,Fighting
Toxicroak,#126,Toxicroak,Poison,Fighting
Ducklett,#127,Ducklett,Water,Flying
Swanna,#128,Swanna,Water,Flying
Spritzee,#129,Spritzee,Fairy,null
Aromatisse,#130,Aromatisse,Fairy,null
Swirlix,#131,Swirlix,Fairy,null
Slurpuff,#132,Slurpuff,Fairy,null
Volbeat,#133,Volbeat,Bug,null
Illumise,#134,Illumise,Bug,null
Hoppip,#135,Hoppip,Grass,Flying
Skiploom,#136,Skiploom,Grass,Flying
Jumpluff,#137,Jumpluff,Grass,Flying
Munchlax,#138,Munchlax,Normal,null
Snorlax,#139,Snorlax,Normal,null
Whismur,#140,Whismur,Normal,null
Loudred,#141,Loudred,Normal,null
Exploud,#142,Exploud,Normal,null
Meditite,#143,Meditite,Fighting,Psychic
Medicham,#144,Medicham,Fighting,Psychic
Zubat,#145,Zubat,Poison,Flying
Golbat,#146,Golbat,Poison,Flying
Crobat,#147,Crobat,Poison,Flying
Axew,#148,Axew,Dragon,null
Fraxure,#149,Fraxure,Dragon,null
Haxorus,#150,Haxorus,Dragon,null
Diancie,#151,Diancie,Rock,Fairy
Hoopa,#152,Hoopa,Psychic,Ghost
Volcanion,#153,Volcanion,Fire,Water
